key,variant,max_chars,instruction,en,nl,af,sq,am,ar,hy,as,az,eu,bn,my,bs,bg,ca,zh,da,de,et,fo,fi,fr,gl,ka,el,gu,he,hi,hu,ga,is,id,it,ja,kn,kk,km,ko,hr,lo,lv,lt,mk,ms,ml,mr,mn,ne,no,uk,or,ug,uz,fa,pl,pt,pa,ro,ru,sr,si,sk,sl,es,sw,ta,te,th,bo,cs,tr,ur,vi,cy,be,zu,sv
common.back,,10,"Button that returns to the previous onboarding step. Also the VoiceOver label for the back chevron, so keep it a plain verb. LENGTH: English 4 characters, Dutch 5. Aim for 10 or fewer.",Back,Terug,Terug,Mbrapa,ተመለስ,رجوع,Հետ,পিছলৈ,Geri,Atzera,পেছনে,နောက်သို့,Natrag,Назад,Enrere,返回,Tilbage,Zurück,Tagasi,Aftur,Takaisin,Retour,Atrás,უკან,Πίσω,પાછળ,חזרה,वापस,Vissza,Siar,Til baka,Kembali,Indietro,もどる,ಹಿಂದೆ,Артқа,ថយក្រោយ,뒤로,Natrag,ກັບ,Atpakaļ,Atgal,Назад,Kembali,പിന്നോട്ട്,मागे,Буцах,पछाडि,Tilbake,Назад,ପଛକୁ,قايت,Orqaga,برگشت,Wstecz,Voltar,ਪਿੱਛੇ,Înapoi,Назад,Nazad,ආපසු,Späť,Nazaj,Atrás,Rudi,பின்,వెనక్కి,กลับ,ཕྱིར་ལོག,Zpět,Geri,واپس,Quay lại,Nôl,Назад,Emuva,Tillbaka
common.cancel,,15,"Button that dismisses a sheet without saving. LENGTH: English 6 characters, Dutch 9. Aim for 15 or fewer.",Cancel,Annuleren,Kanselleer,Anulo,ሰርዝ,إلغاء,Չեղարկել,বাতিল,Ləğv et,Utzi,বাতিল,မလုပ်တော့,Otkaži,Отказ,Cancel·la,取消,Annuller,Abbrechen,Loobu,Angra,Peruuta,Annuler,Cancelar,გაუქმება,Ακύρωση,રદ કરો,ביטול,रद्द करें,Mégse,Cealaigh,Hætta við,Batal,Annulla,キャンセル,ರದ್ದು,Бас тарту,បោះបង់,취소,Odustani,ຍົກເລີກ,Atcelt,Atšaukti,Откажи,Batal,റദ്ദാക്കുക,रद्द,Цуцлах,रद्द,Avbryt,Скасувати,ବାତିଲ୍,بىكار قىل,Bekor qilish,لغو,Anuluj,Cancelar,ਰੱਦ ਕਰੋ,Anulează,Отмена,Otkaži,අවලංගු,Zrušiť,Prekliči,Cancelar,Ghairi,ரத்துசெய்,రద్దు,ยกเลิก,ཕྱིར་འཐེན,Zrušit,İptal,منسوخ,Hủy,Canslo,Скасаваць,Khansela,Avbryt
common.continue,,15,"Button that resumes a level the player left part-way through. LENGTH: English 8 characters, Dutch 6. Aim for 15 or fewer.",Continue,Verder,Gaan voort,Vazhdo,ቀጥል,متابعة,Շարունակել,আগলৈ,Davam et,Jarraitu,এগিয়ে,ဆက်ရန်,Nastavi,Напред,Continua,继续,Fortsæt,Weiter,Jätka,Víðari,Jatka,Continuer,Continuar,გაგრძელება,Συνέχεια,આગળ,המשך,आगे,Tovább,Ar aghaidh,Áfram,Lanjut,Continua,つづける,ಮುಂದೆ,Жалғастыру,បន្ត,계속,Nastavi,ຕໍ່ໄປ,Turpināt,Tęsti,Продолжи,Teruskan,തുടരുക,पुढे,Үргэлжлүүлэх,अगाडि,Fortsett,Далі,ଆଗକୁ,داۋاملاشتۇر,Davom et,ادامه,Dalej,Continuar,ਅੱਗੇ,Continuă,Дальше,Nastavi,ඉදිරියට,Ďalej,Naprej,Continuar,Endelea,தொடர்,కొనసాగించు,ต่อไป,མུ་མཐུད,Pokračovat,Devam,جاری,Tiếp tục,Parhau,Далей,Qhubeka,Fortsätt
common.done,,10,"Button that closes a settings sheet. LENGTH: English 4 characters, Dutch 5. Aim for 10 or fewer.",Done,Klaar,Klaar,Gati,ጨርሷል,تم,Պատրաստ է,হ’ল,Hazır,Eginda,হয়ে গেছে,ပြီးပြီ,Gotovo,Готово,Fet,完成,Færdig,Fertig,Valmis,Liðugt,Valmis,Terminé,Feito,მზადაა,Έτοιμο,થઈ ગયું,סיום,हो गया,Kész,Déanta,Búið,Selesai,Fatto,できた,ಆಯಿತು,Дайын,រួចរាល់,완료,Gotovo,ສຳເລັດ,Gatavs,Baigta,Готово,Selesai,പൂർത്തിയായി,झालं,Боллоо,सकियो,Ferdig,Готово,ହେଲା,بولدى,Tayyor,تمام,Gotowe,Pronto,ਹੋ ਗਿਆ,Gata,Готово,Gotovo,හරි,Hotovo,Končano,Listo,Tayari,முடிந்தது,పూర్తి,เสร็จ,ཚར,Hotovo,Bitti,ہو گیا,Xong,Wedi gorffen,Гатова,Kwenziwe,Klar
common.locked,,15,"VoiceOver value for a character the player has not earned yet. Pairs with common.unlocked. LENGTH: English 6 characters, Dutch 11. Aim for 15 or fewer.",Locked,Vergrendeld,Gesluit,I kyçur,ተቆልፏል,مقفل,Կողպված,লক কৰা,Bağlı,Blokeatuta,লক করা,မဖွင့်ရသေး,Zaključano,Заключено,Bloquejat,已锁定,Låst,Gesperrt,Lukus,Læst,Lukittu,Verrouillé,Bloqueado,ჩაკეტილი,Κλειδωμένο,લૉક,נעול,लॉक,Zárolva,Faoi ghlas,Læst,Terkunci,Bloccato,ロック中,ಲಾಕ್ ಆಗಿದೆ,Құлыптаулы,ជាប់សោ,잠김,Zaključano,ລັອກ,Bloķēts,Užrakinta,Заклучено,Dikunci,പൂട്ടിയത്,लॉक,Түгжээтэй,लक गरिएको,Låst,Заблоковано,ଲକ୍,قۇلۇپلانغان,Qulflangan,قفل,Zablokowane,Bloqueado,ਲੌਕ,Blocat,Заблокировано,Zaključano,අගුළු දාලා,Zamknuté,Zaklenjeno,Bloqueado,Imefungwa,பூட்டப்பட்டது,లాక్ అయింది,ล็อก,སྒོ་བརྒྱབ,Zamčeno,Kilitli,مقفل,Đã khóa,Dan glo,Заблакіраваны,Kukhiyiwe,Låst
common.minutesShort %lld %lld,,25,"Very compact progress readout on the home screen streak chip: minutes played out of the goal. First number is progress, second is the goal. Space is tight — abbreviate the unit the way your language does on a watch face. PLACEHOLDERS: keep %1$lld, %2$lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 17 characters, Dutch 17. Aim for 25 or fewer.",%1$lld/%2$lld min,%1$lld/%2$lld min,%lld/%lld min,%lld/%lld min,%lld/%lld ደቂቃ,%lld/%lld د,%lld/%lld ր,%lld/%lld মিনিট,%lld/%lld dəq,%lld/%lld min,%lld/%lld মিনিট,%lld/%lld မိနစ်,%lld/%lld min,%lld/%lld мин,%lld/%lld min,%lld/%lld 分钟,%lld/%lld min,%lld/%lld Min.,%lld/%lld min,%lld/%lld min,%lld/%lld min,%lld/%lld min,%lld/%lld min,%lld/%lld წთ,%lld/%lld λεπ.,%lld/%lld મિનિટ,%lld/%lld דק׳,%lld/%lld मिनट,%lld/%lld perc,%lld/%lld nóim,%lld/%lld mín.,%lld/%lld mnt,%lld/%lld min,%lld/%lld分,%lld/%lld ನಿಮಿ,%lld/%lld мин,%lld/%lld នាទី,%lld/%lld분,%lld/%lld min,%lld/%lld ນາທີ,%lld/%lld min,%lld/%lld min,%lld/%lld мин,%lld/%lld min,%lld/%lld മിനിറ്റ്,%lld/%lld मि.,%lld/%lld мин,%lld/%lld मिनेट,%lld/%lld min,%lld/%lld хв,%lld/%lld ମିନିଟ୍,%lld/%lld مىن,%lld/%lld daq,%lld/%lld دقیقه,%lld/%lld min,%lld/%lld min,%lld/%lld ਮਿੰਟ,%lld/%lld min,%lld/%lld мин,%lld/%lld min,%lld/%lld මිනි,%lld/%lld min,%lld/%lld min,%lld/%lld min,%lld/%lld min,%lld/%lld நிமி,%lld/%lld నిమి,%lld/%lld นาที,%lld/%lld སྐར་མ,%lld/%lld min,%lld/%lld dk,%lld/%lld منٹ,%lld/%lld phút,%lld/%lld mun,%lld/%lld хв,%lld/%lld imin,%lld/%lld min
common.off,,10,"VoiceOver value for a switch that is off. Pairs with common.on. LENGTH: English 3 characters, Dutch 3. Aim for 10 or fewer.",Off,Uit,Af,Joaktiv,ጠፍቷል,إيقاف,Անջատված,বন্ধ,Söndürülüb,Desaktibatuta,বন্ধ,ပိတ်,Isključeno,Изключено,Desactivat,关,Fra,Aus,Väljas,Sløkt,Pois,Désactivé,Apagado,გამორთული,Κλειστό,બંધ,כבוי,बंद,Ki,As,Af,Nonaktif,Spento,オフ,ಆಫ್,Өшірулі,បិទ,끔,Isključeno,ປິດ,Izslēgts,Išjungta,Исклучено,Mati,ഓഫ്,बंद,Унтраалттай,बन्द,Av,Вимк.,ବନ୍ଦ,ئۆچۈك,O‘chiq,خاموش,Wył.,Desligado,ਬੰਦ,Oprit,Выкл.,Isključeno,අක්‍රිය,Vypnuté,Izklopljeno,Desactivado,Imezimwa,ஆஃப்,ఆఫ్,ปิด,སྒོ་བརྒྱབ,Vypnuto,Kapalı,بند,Tắt,I ffwrdd,Выключана,Valiwe,Av
common.ok,,10,"Button that acknowledges an informational message. LENGTH: English 2 characters, Dutch 3. Aim for 10 or fewer.",OK,Oké,OK,OK,እሺ,حسنًا,Լավ,ঠিক আছে,OK,Ados,ঠিক আছে,အိုကေ,U redu,OK,D’acord,OK,OK,OK,OK,Í lagi,OK,OK,OK,კარგი,ΟΚ,ઓકે,אוקיי,ठीक,OK,OK,Í lagi,OK,OK,OK,ಸರಿ,OK,យល់ព្រម,확인,U redu,ຕົກລົງ,Labi,Gerai,ОК,OK,ശരി,ठीक,OK,ठीक छ,OK,ОК,ଠିକ୍,ماقۇل,OK,باشه,OK,OK,ਠੀਕ ਹੈ,OK,ОК,U redu,හරි,OK,OK,OK,Sawa,சரி,సరే,ตกลง,འགྲིག,OK,Tamam,ٹھیک ہے,OK,Iawn,ОК,Kulungile,OK
common.on,,10,"VoiceOver value for a switch that is on. Pairs with common.off. LENGTH: English 2 characters, Dutch 3. Aim for 10 or fewer.",On,Aan,Aan,Aktiv,በርቷል,تشغيل,Միացված,চালু,Aktiv,Aktibatuta,চালু,ဖွင့်,Uključeno,Включено,Activat,开,Til,An,Sees,Á,Päällä,Activé,Acendido,ჩართული,Ανοιχτό,ચાલુ,מופעל,चालू,Be,Ar,Á,Aktif,Acceso,オン,ಆನ್,Қосулы,បើក,켬,Uključeno,ເປີດ,Ieslēgts,Įjungta,Вклучено,Hidup,ഓൺ,चालू,Асаалттай,चालु,På,Увімк.,ଚାଲୁ,ئوچۇق,Yoniq,روشن,Wł.,Ligado,ਚਾਲੂ,Pornit,Вкл.,Uključeno,සක්‍රිය,Zapnuté,Vklopljeno,Activado,Imewashwa,ஆன்,ఆన్,เปิด,སྒོ་ཕྱེ,Zapnuto,Açık,چالو,Bật,Ymlaen,Уключана,Kuvuliwe,På
common.save,,15,"Button that confirms an edited value. LENGTH: English 4 characters, Dutch 7. Aim for 15 or fewer.",Save,Opslaan,Stoor,Ruaj,አስቀምጥ,حفظ,Պահել,সংৰক্ষণ,Yadda saxla,Gorde,সংরক্ষণ,သိမ်းရန်,Sačuvaj,Запази,Desa,保存,Gem,Speichern,Salvesta,Goym,Tallenna,Enregistrer,Gardar,შენახვა,Αποθήκευση,સાચવો,שמירה,सहेजें,Mentés,Sábháil,Vista,Simpan,Salva,ほぞん,ಉಳಿಸು,Сақтау,រក្សាទុក,저장,Spremi,ບັນທຶກ,Saglabāt,Išsaugoti,Зачувај,Simpan,സേവ്,जतन,Хадгалах,सेभ,Lagre,Зберегти,ସେଭ୍,ساقلا,Saqlash,ذخیره,Zapisz,Guardar,ਸੰਭਾਲੋ,Salvează,Сохранить,Sačuvaj,සුරකින්න,Uložiť,Shrani,Guardar,Hifadhi,சேமி,సేవ్,บันทึก,ཉར,Uložit,Kaydet,محفوظ کریں,Lưu,Cadw,Захаваць,Londoloza,Spara
common.unlocked,,20,"VoiceOver value for a character the player has earned. Pairs with common.locked. LENGTH: English 8 characters, Dutch 12. Aim for 20 or fewer.",Unlocked,Vrijgespeeld,Ontsluit,I zhbllokuar,ተከፍቷል,مفتوح,Բացված,আনলক,Açılıb,Desblokeatuta,আনলক করা,ဖွင့်ပြီး,Otključano,Отключено,Desbloquejat,已解锁,Låst op,Freigeschaltet,Avatud,Upplæst,Avattu,Déverrouillé,Desbloqueado,გახსნილი,Ξεκλειδωμένο,અનલૉક,נפתח,अनलॉक,Feloldva,Díghlasáilte,Opið,Terbuka,Sbloccato,アンロック済み,ತೆರೆದಿದೆ,Ашылды,បានដោះសោ,잠금 해제,Otključano,ປົດລັອກແລ້ວ,Atbloķēts,Atrakinta,Отклучено,Dibuka,തുറന്നു,अनलॉक,Нээгдсэн,खुलिसकेको,Låst opp,Відкрито,ଅନଲକ୍,ئېچىلغان,Ochilgan,باز شده,Odblokowane,Desbloqueado,ਅਨਲੌਕ,Deblocat,Открыто,Otključano,විවෘතයි,Odomknuté,Odklenjeno,Desbloqueado,Imefunguliwa,திறக்கப்பட்டது,అన్‌లాక్ అయింది,ปลดล็อกแล้ว,སྒོ་ཕྱེ,Odemčeno,Kilidi açıldı,کھل گیا,Đã mở khóa,Wedi datgloi,Адкрыты,Kuvuliwe,Upplåst
game.accessibility.scoreOutOf %lld %lld,,20,"VoiceOver label for the score capsule on the result screen. First number is the score reached, second the maximum for that level. PLACEHOLDERS: keep %lld, %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 16 characters, Dutch 13. Aim for 20 or fewer.",%lld out of %lld,%lld van %lld,%lld uit %lld,%lld nga %lld,ከ%lld ውስጥ %lld,%lld من %lld,%lld՝ %lld-ից,%lld ৰ ভিতৰত %lld,%lld-dən %lld,%lld / %lld,%lld-এর মধ্যে %lld,%lld မှ %lld,%lld od %lld,%lld от %lld,%lld de %lld,%lld，共 %lld,%lld ud af %lld,%lld von %lld,%lld / %lld,%lld av %lld,%lld/%lld,%lld sur %lld,%lld de %lld,%lld / %lld,%lld από %lld,%lld માંથી %lld,%lld מתוך %lld,%lld/%lld,%lld / %lld,%lld as %lld,%lld af %lld,%lld dari %lld,%lld su %lld,%lld／%lld,%lld/%lld,%lld / %lld,%lld ក្នុងចំណោម %lld,%lld개 중 %lld개,%lld od %lld,%lld ຈາກ %lld,%lld no %lld,%lld iš %lld,%lld од %lld,%lld daripada %lld,%lldൽ %lld,%lld पैकी %lld,%lld-аас %lld,%lld मध्ये %lld,%lld av %lld,%lld з %lld,%lld ମଧ୍ୟରୁ %lld,%lld دىن %lld,%lld tadan %lld ta,%lld از %lld,%lld z %lld,%lld de %lld,%lld ਵਿੱਚੋਂ %lld,%lld din %lld,%lld из %lld,%lld od %lld,%lld න් %lld,%lld z %lld,%lld od %lld,%lld de %lld,%lld kati ya %lld,%lld / %lld,%lldలో %lld,%lld จาก %lld,%lld ནས་ %lld,%lld z %lld,%lld/%lld,%lld میں سے %lld,%lld trên %lld,%lld allan o %lld,%lld з %lld,%lld kokungu-%lld,%lld av %lld
game.answer.correct,,15,"VoiceOver value spoken for an answer bubble that holds the correct answer. Pairs with game.answer.wrong. One word. LENGTH: English 7 characters, Dutch 4. Aim for 15 or fewer.",correct,goed,reg,saktë,ትክክል,صحيح,ճիշտ,সঠিক,düzgün,zuzena,সঠিক,မှန်,tačno,вярно,correcte,正确,rigtigt,richtig,õige,rætt,oikein,correct,correcta,სწორი,σωστό,સાચું,נכון,सही,helyes,ceart,rétt,benar,corretta,正解,ಸರಿ,дұрыс,ត្រឹមត្រូវ,정답,točno,ຖືກ,pareizi,teisingas,точно,betul,ശരി,बरोबर,зөв,सही,riktig,правильно,ଠିକ୍,توغرا,to‘g‘ri,درست,poprawna,certa,ਸਹੀ,corect,верно,tačno,හරි,správne,pravilno,correcta,sahihi,சரி,సరైనది,ถูก,འགྲིག,správně,doğru,صحیح,đúng,cywir,правільна,kulungile,rätt
